WALKING WALKING_UPSTAIRS WALKING_DOWNSTAIRS SITTING STANDING LAYING variable
0.2773308 0.2554617 0.2891883 0.2612376 0.2789176 0.2215982 1
0.2764266 0.2471648 0.2776153 0.2770874 0.2779115 0.2813734 1
0.2755675 0.2608199 0.2924235 0.2571976 0.2800465 0.2755169 1
0.278582 0.2708767 0.2799653 0.2715383 0.2804997 0.2635592 1
0.2778423 0.2684595 0.2935439 0.2736941 0.2825444 0.2783343 1
0.2836589 0.2682294 0.2770453 0.2767785 0.2803462 0.2486565 1
0.275593 0.2487069 0.2803071 0.2846746 0.2827235 0.2501767 1
0.2746863 0.2588802 0.2834841 0.2674915 0.279621 0.2612543 1
0.2785028 0.2624365 0.2959234 0.2483267 0.2823101 0.2591955 1
0.2785741 0.2671219 0.2904016 0.2706121 0.2766503 0.2802306 1
0.2718219 0.2637759 0.2916056 0.2765902 0.2777156 0.280593 1
0.2771287 0.2729703 0.2815211 0.2750072 0.2774058 0.2601134 1
0.2758831 0.2582039 0.2949076 0.2743285 0.2777584 0.2767164 1
0.2719596 0.2624211 0.2934221 0.2799906 0.2805456 0.2332754 1
0.2738992 0.2701876 0.2801989 0.2729034 0.2789158 0.2894757 1
0.2760236 0.2559861 0.2955868 0.2807686 0.2834974 0.2742272 1
0.2723419 0.2526048 0.2939183 0.277357 0.2779425 0.2697801 1
0.2738878 0.2654012 0.2884395 0.27727 0.2784588 0.2746916 1
0.2739312 0.2421188 0.2626881 0.2738303 0.2781723 0.2726537 1
0.2725893 0.2520983 0.2961444 0.2780454 0.2780769 0.2395079 1
0.2791835 0.2651945 0.301461 0.2775396 0.2769522 0.2713255 1
0.2788646 0.2483915 0.284459 0.2735838 0.2790539 0.2799597 1
0.2732119 0.2499952 0.2898974 0.2733513 0.2778993 0.274038 1
0.2769808 0.2698811 0.2886312 0.2734757 0.2803489 0.2728505 1
0.2789928 0.2779954 0.2913297 0.2785415 0.2780137 0.2507918 1
0.2792644 0.2726914 0.2792846 0.2582435 0.281127 0.2716459 1
0.2768495 0.2657703 0.2975442 0.2739413 0.2795669 0.2741025 1
0.2812282 0.2620058 0.2936421 0.2769776 0.2777951 0.2759135 1
0.2719999 0.2654231 0.2931404 0.27718 0.2779651 0.2872952 1
0.2764068 0.2714156 0.2831906 0.2683361 0.2771127 0.2810339 1
-0.01738382 -0.02395315 -0.009918505 -0.001308288 -0.01613759 -0.04051395 2
-0.01859492 -0.02141211 -0.02266142 -0.01568799 -0.01842083 -0.01815874 2
-0.01717678 -0.03241094 -0.01935541 -0.003502998 -0.01433766 -0.01895568 2
-0.01483995 -0.03198043 -0.009802009 -0.007163065 -0.009489111 -0.01500318 2
-0.01728503 -0.03252698 -0.008501075 -0.009900835 -0.007004186 -0.01830421 2
-0.01689542 -0.02724254 -0.01953684 -0.01459116 -0.01812363 -0.01025292 2
-0.01865367 -0.0275639 -0.01663324 -0.01461098 -0.01457403 -0.02044115 2
-0.01866289 -0.02824151 -0.02110587 -0.006725506 -0.01481131 -0.02122817 2
-0.0180892 -0.01951011 -0.02039943 -0.02701678 -0.0200455 -0.02052682 2
-0.01702235 -0.01438549 -0.02000508 -0.01504268 -0.01554186 -0.02429448 2
-0.01664758 -0.03031578 -0.01780977 -0.01491956 -0.01719909 -0.01765981 2
-0.01556093 -0.02635749 -0.01808427 -0.0157893 -0.01690025 -0.01752039 2
-0.01856607 -0.02773923 -0.01437238 -0.005877329 -0.0167892 -0.02044045 2
-0.02177854 -0.02043882 -0.02001414 -0.008705655 -0.01520781 -0.01134247 2
-0.01708097 -0.02875239 -0.005630478 -0.01171885 -0.01835164 -0.01662965 2
-0.02042869 -0.01436549 -0.01838986 -0.01024979 -0.01659997 -0.01661035 2
-0.01848754 -0.02286456 -0.01673594 -0.01415627 -0.01741201 -0.0168462 2
-0.01780236 -0.02220607 -0.01686669 -0.01286913 -0.01663535 -0.01739377 2
-0.01917736 -0.03039866 -0.01459423 -0.01673926 -0.01542441 -0.01714269 2
-0.02119999 -0.0282258 -0.009641208 -0.01472293 -0.0180695 -0.01444063 2
-0.01816103 -0.02372187 -0.01731954 -0.01440097 -0.01670847 -0.0184233 2
-0.01672136 -0.02686226 -0.01979994 -0.01234684 -0.01585632 -0.01426299 2
-0.01836187 -0.0323844 -0.01621115 -0.0133945 -0.01774755 -0.02165538 2
-0.02254464 -0.02519794 -0.01457303 -0.01312551 -0.01447853 -0.01735552 2
-0.01864776 -0.02698635 -0.02101705 -0.01476968 -0.01635697 -0.01889437 2
-0.01542596 -0.02816338 -0.01262581 -0.007133645 -0.01666083 -0.01918957 2
-0.01664788 -0.02009533 -0.01355645 -0.01552698 -0.01659324 -0.01798676 2
-0.01567597 -0.02794439 -0.02202305 -0.01854044 -0.01726351 -0.01675379 2
-0.01629156 -0.02994653 -0.01494122 -0.01663068 -0.01726059 -0.01719655 2
-0.01758804 -0.02533117 -0.01743839 -0.008047313 -0.01701639 -0.01944941 2
-0.1111481 -0.097302 -0.1075662 -0.1045442 -0.1106018 -0.1132036 3
-0.1055004 -0.1525139 -0.1168129 -0.1092183 -0.1059085 -0.1072456 3
-0.1126749 -0.1100649 -0.1161398 -0.09835792 -0.1016217 -0.1013005 3
-0.1114031 -0.1142195 -0.1067775 -0.1058746 -0.09615749 -0.1106882 3
-0.1077418 -0.1074715 -0.1003199 -0.1085403 -0.1021711 -0.1079376 3
-0.1103032 -0.1220824 -0.1072094 -0.1101277 -0.1121728 -0.1331196 3
-0.1109122 -0.1437697 -0.09693831 -0.1224646 -0.09977783 -0.101361 3
-0.1072521 -0.1151221 -0.1075981 -0.104461 -0.106115 -0.1022454 3
-0.1108205 -0.125219 -0.09102788 -0.07537847 -0.09527475 -0.1075497 3
-0.1090575 -0.1181804 -0.1108486 -0.1042532 -0.1079641 -0.1171686 3
-0.1060963 -0.1067972 -0.1110701 -0.1128402 -0.1086866 -0.1087866 3
-0.1031611 -0.1073397 -0.1095559 -0.1063072 -0.105527 -0.1081601 3
-0.1114315 -0.1257673 -0.1019939 -0.09724651 -0.1121241 -0.1043319 3
